"term","freq","s1","s2","s3","prob"
"to get your",24,"to","get","your",0.0297029702970297
"to keep the",24,"to","keep","the",0.138728323699422
"to work with",24,"to","work","with",0.117647058823529
"what did you",24,"what","did","you",0.648648648648649
"when i get",24,"when","i","get",0.040133779264214
"a few more",23,"a","few","more",0.0525114155251142
"along with the",23,"along","with","the",0.252747252747253
"and all the",23,"and","all","the",0.181102362204724
"awkward moment when",23,"awkward","moment","when",0.741935483870968
"come to the",23,"come","to","the",0.156462585034014
"don't have a",23,"don't","have","a",0.205357142857143
"for a couple",23,"for","a","couple",0.0232558139534884
"forward to seeing",23,"forward","to","seeing",0.0934959349593496
"get rid of",23,"get","rid","of",0.958333333333333
"he is a",23,"he","is","a",0.0905511811023622
"i'm pretty sure",23,"i'm","pretty","sure",0.676470588235294
"i didn't have",23,"i","didn't","have",0.120418848167539
"i got the",23,"i","got","the",0.0784982935153584
"if you do",23,"if","you","do",0.0249728555917481
"in a way",23,"in","a","way",0.0216165413533835
"in one of",23,"in","one","of",0.2875
"in other words",23,"in","other","words",0.469387755102041
"is just a",23,"is","just","a",0.169117647058824
"it's been a",23,"it's","been","a",0.343283582089552
"love to see",23,"love","to","see",0.128491620111732
"many of the",23,"many","of","the",0.25
"of the game",23,"of","the","game",0.00590197587888119
"of the night",23,"of","the","night",0.00590197587888119
"of the people",23,"of","the","people",0.00590197587888119
"ready for the",23,"ready","for","the",0.178294573643411
"so much more",23,"so","much","more",0.0547619047619048
"that awkward moment",23,"that","awkward","moment",0.851851851851852
"that there is",23,"that","there","is",0.2875
"the course of",23,"the","course","of",0.696969696969697
"the other day",23,"the","other","day",0.0798611111111111
"to all my",23,"to","all","my",0.133720930232558
"to me and",23,"to","me","and",0.0594315245478036
"was a great",23,"was","a","great",0.0381426202321725
"was on the",23,"was","on","the",0.27710843373494
"what a great",23,"what","a","great",0.134502923976608
"what i do",23,"what","i","do",0.0712074303405573
"what kind of",23,"what","kind","of",0.884615384615385
"wish i had",23,"wish","i","had",0.167883211678832
"you guys are",23,"you","guys","are",0.13855421686747
"you had a",23,"you","had","a",0.365079365079365
"you know the",23,"you","know","the",0.0567901234567901
"a man who",22,"a","man","who",0.2
"and he was",22,"and","he","was",0.128654970760234
"and i don't",22,"and","i","don't",0.0196078431372549
"are the best",22,"are","the","best",0.0849420849420849
"at least i",22,"at","least","i",0.0714285714285714
"be a great",22,"be","a","great",0.0402193784277879
"but i know",22,"but","i","know",0.0345911949685535
"but if you",22,"but","if","you",0.323529411764706
"but in the",22,"but","in","the",0.278481012658228
"come back to",22,"come","back","to",0.297297297297297
"did you get",22,"did","you","get",0.105263157894737
"don't forget to",22,"don't","forget","to",0.44
"for me i",22,"for","me","i",0.0567010309278351
"for the last",22,"for","the","last",0.0112302194997448
"going to get",22,"going","to","get",0.0251428571428571
"had a good",22,"had","a","good",0.0503432494279176
"have you ever",22,"have","you","ever",0.165413533834586
"here is the",22,"here","is","the",0.244444444444444
"i am still",22,"i","am","still",0.0203703703703704
"i had no",22,"i","had","no",0.0411985018726592
"i hate when",22,"i","hate","when",0.144736842105263
"i have never",22,"i","have","never",0.0192307692307692
"i just want",22,"i","just","want",0.0416666666666667
"i look forward",22,"i","look","forward",0.372881355932203
"i love that",22,"i","love","that",0.0306834030683403
"i think of",22,"i","think","of",0.0289093298291721
"i was on",22,"i","was","on",0.0195729537366548
"i will have",22,"i","will","have",0.0501138952164009
"if i had",22,"if","i","had",0.0552763819095477
"if they are",22,"if","they","are",0.143790849673203
"in the air",22,"in","the","air",0.00575013068478829
"in the meantime",22,"in","the","meantime",0.00575013068478829
"in your life",22,"in","your","life",0.100917431192661
"is that i",22,"is","that","i",0.0748299319727891
"is there a",22,"is","there","a",0.285714285714286
"it could be",22,"it","could","be",0.511627906976744
"it was great",22,"it","was","great",0.0200729927007299
"known as the",22,"known","as","the",0.379310344827586
"listening to the",22,"listening","to","the",0.178861788617886
"look like a",22,"look","like","a",0.275
"love you too",22,"love","you","too",0.0894308943089431
"me and my",22,"me","and","my",0.0995475113122172
"not to be",22,"not","to","be",0.107317073170732
"of the house",22,"of","the","house",0.00564536823197331
"on to the",22,"on","to","the",0.239130434782609
"so i was",22,"so","i","was",0.045360824742268
"that there are",22,"that","there","are",0.275
"that was a",22,"that","was","a",0.0788530465949821
"the idea that",22,"the","idea","that",0.247191011235955
"the importance of",22,"the","importance","of",0.956521739130435
"the most important",22,"the","most","important",0.0632183908045977
"the other hand",22,"the","other","hand",0.0763888888888889
"the other side",22,"the","other","side",0.0763888888888889
"they want to",22,"they","want","to",0.523809523809524
"this was the",22,"this","was","the",0.183333333333333
"this will be",22,"this","will","be",0.478260869565217
"to get back",22,"to","get","back",0.0272277227722772
"to have the",22,"to","have","the",0.0516431924882629
"to one of",22,"to","one","of",0.4
"to say i",22,"to","say","i",0.0797101449275362
"to the next",22,"to","the","next",0.0105263157894737
"to the point",22,"to","the","point",0.0105263157894737
"trying to make",22,"trying","to","make",0.0664652567975831
"when i saw",22,"when","i","saw",0.0367892976588629
"why is it",22,"why","is","it",0.314285714285714
"will be able",22,"will","be","able",0.026378896882494
"you can do",22,"you","can","do",0.0386643233743409
"you get a",22,"you","get","a",0.123595505617978
"you know how",22,"you","know","how",0.054320987654321
"a bit more",21,"a","bit","more",0.0673076923076923
"a few of",21,"a","few","of",0.0479452054794521
"a matter of",21,"a","matter","of",0.91304347826087
"all about the",21,"all","about","the",0.304347826086957
"all of them",21,"all","of","them",0.0648148148148148
"and i just",21,"and","i","just",0.018716577540107
"and they are",21,"and","they","are",0.14
"and this is",21,"and","this","is",0.25
"and you will",21,"and","you","will",0.110526315789474
"at some point",21,"at","some","point",0.525
"back to work",21,"back","to","work",0.0566037735849057
"be the best",21,"be","the","best",0.075812274368231
"best way to",21,"best","way","to",0.875
"but when i",21,"but","when","i",0.338709677419355
"could have been",21,"could","have","been",0.225806451612903
"even though i",21,"even","though","i",0.194444444444444
"first day of",21,"first","day","of",0.525
"for me and",21,"for","me","and",0.0541237113402062
"for the mention",21,"for","the","mention",0.0107197549770291
"for the past",21,"for","the","past",0.0107197549770291
"forward to the",21,"forward","to","the",0.0853658536585366
"give me a",21,"give","me","a",0.283783783783784
"going to make",21,"going","to","make",0.024
"ha ha ha",21,"ha","ha","ha",0.5
"had no idea",21,"had","no","idea",0.355932203389831
"here in the",21,"here","in","the",0.25609756097561
"how to get",21,"how","to","get",0.0804597701149425
"i dont have",21,"i","dont","have",0.0905172413793103
"i dont think",21,"i","dont","think",0.0905172413793103
"i have an",21,"i","have","an",0.0183566433566434
"i hope i",21,"i","hope","i",0.0747330960854092
"i hope that",21,"i","hope","that",0.0747330960854092
"i just got",21,"i","just","got",0.0397727272727273
"i just love",21,"i","just","love",0.0397727272727273
"i just need",21,"i","just","need",0.0397727272727273
"i want a",21,"i","want","a",0.0552631578947368
"i was not",21,"i","was","not",0.0186832740213523
"if you know",21,"if","you","know",0.0228013029315961
"if you need",21,"if","you","need",0.0228013029315961
"is gonna be",21,"is","gonna","be",0.583333333333333
"it is to",21,"it","is","to",0.0209580838323353
"it should be",21,"it","should","be",0.5
"it when i",21,"it","when","i",0.362068965517241
"just a few",21,"just","a","few",0.11864406779661
"know what you",21,"know","what","you",0.106598984771574
"like to be",21,"like","to","be",0.0798479087452472
"live in the",21,"live","in","the",0.253012048192771
"much of a",21,"much","of","a",0.269230769230769
"not in the",21,"not","in","the",0.28
"of the book",21,"of","the","book",0.00538876058506543
"on how to",21,"on","how","to",0.381818181818182
"on the couch",21,"on","the","couch",0.0104529616724739
"on the phone",21,"on","the","phone",0.0104529616724739
"on the side",21,"on","the","side",0.0104529616724739
"so many people",21,"so","many","people",0.136363636363636
"so we can",21,"so","we","can",0.233333333333333
"take a look",21,"take","a","look",0.141891891891892
"the first place",21,"the","first","place",0.0392523364485981
"the heart of",21,"the","heart","of",0.538461538461538
"the history of",21,"the","history","of",0.875
"the lack of",21,"the","lack","of",1
"the last time",21,"the","last","time",0.075812274368231
"the opportunity to",21,"the","opportunity","to",0.807692307692308
"these are the",21,"these","are","the",0.313432835820896
"they have to",21,"they","have","to",0.113513513513514
"this is my",21,"this","is","my",0.0303907380607815
"this is one",21,"this","is","one",0.0303907380607815
"to be more",21,"to","be","more",0.0114192495921697
"to each other",21,"to","each","other",0.67741935483871
"to go out",21,"to","go","out",0.0447761194029851
"to see my",21,"to","see","my",0.0308823529411765
"to think about",21,"to","think","about",0.235955056179775
"what i was",21,"what","i","was",0.065015479876161
"what it is",21,"what","it","is",0.238636363636364
"when i am",21,"when","i","am",0.0351170568561873
"when you get",21,"when","you","get",0.07
"when you have",21,"when","you","have",0.07
"where are you",21,"where","are","you",0.5
"who i am",21,"who","i","am",0.446808510638298
"will always be",21,"will","always","be",0.488372093023256
"will be on",21,"will","be","on",0.0251798561151079
"a few minutes",20,"a","few","minutes",0.045662100456621
"a great deal",20,"a","great","deal",0.0377358490566038
"a great way",20,"a","great","way",0.0377358490566038
"all kinds of",20,"all","kinds","of",0.909090909090909
"all of my",20,"all","of","my",0.0617283950617284
"all of our",20,"all","of","our",0.0617283950617284
"and i know",20,"and","i","know",0.017825311942959
"and i would",20,"and","i","would",0.017825311942959
"and if i",20,"and","if","i",0.186915887850467
"and thanks for",20,"and","thanks","for",0.625
"and that is",20,"and","that","is",0.10752688172043
"and there are",20,"and","there","are",0.240963855421687
"and we are",20,"and","we","are",0.0980392156862745
"being able to",20,"being","able","to",1
"but i do",20,"but","i","do",0.0314465408805031
"but this is",20,"but","this","is",0.28169014084507
"day of the",20,"day","of","the",0.173913043478261
"didn't want to",20,"didn't","want","to",0.689655172413793
"fact that i",20,"fact","that","i",0.15748031496063
"family and friends",20,"family","and","friends",0.434782608695652
"have a lot",20,"have","a","lot",0.021978021978022
"how do i",20,"how","do","i",0.212765957446809
"i am the",20,"i","am","the",0.0185185185185185
"i don't even",20,"i","don't","even",0.0361663652802893
"i dont want",20,"i","dont","want",0.0862068965517241
"i love your",20,"i","love","your",0.0278940027894003
"i should have",20,"i","should","have",0.169491525423729
"i want you",20,"i","want","you",0.0526315789473684
"i was able",20,"i","was","able",0.0177935943060498
"if there is",20,"if","there","is",0.476190476190476
"is a bit",20,"is","a","bit",0.017683465959328
"is not the",20,"is","not","the",0.050761421319797
"it as a",20,"it","as","a",0.240963855421687
"it turns out",20,"it","turns","out",0.952380952380952
"just got a",20,"just","got","a",0.175438596491228
"just want to",20,"just","want","to",0.555555555555556
"need to know",20,"need","to","know",0.036563071297989
"of people who",20,"of","people","who",0.170940170940171
"of the things",20,"of","the","things",0.00513215293815756
"on the radio",20,"on","the","radio",0.00995520159283225
"on the th",20,"on","the","th",0.00995520159283225
"one of his",20,"one","of","his",0.0255427841634738
"only a few",20,"only","a","few",0.363636363636364
"or at least",20,"or","at","least",0.645161290322581
"so i have",20,"so","i","have",0.0412371134020619
"so much to",20,"so","much","to",0.0476190476190476
"thanks for your",20,"thanks","for","your",0.0304878048780488
