"term","freq","s1","s2","s3","prob"
"that he is",93,"that","he","is",0.12156862745098
"that was the",93,"that","was","the",0.0870786516853933
"the ability to",93,"the","ability","to",0.869158878504673
"to one of",93,"to","one","of",0.444976076555024
"a fan of",92,"a","fan","of",0.50828729281768
"a look at",92,"a","look","at",0.557575757575758
"all of our",92,"all","of","our",0.0677466863033873
"at some point",92,"at","some","point",0.550898203592814
"check out our",92,"check","out","our",0.140458015267176
"for a long",92,"for","a","long",0.0232793522267206
"had no idea",92,"had","no","idea",0.4
"i didn't know",92,"i","didn't","know",0.12283044058745
"i just got",92,"i","just","got",0.0440613026819923
"of the night",92,"of","the","night",0.00585688820982939
"on the th",92,"on","the","th",0.011758691206544
"over the past",92,"over","the","past",0.0821428571428571
"really want to",92,"really","want","to",0.613333333333333
"that this is",92,"that","this","is",0.219047619047619
"that you have",92,"that","you","have",0.0853432282003711
"to get back",92,"to","get","back",0.0285271317829457
"to have the",92,"to","have","the",0.0514541387024608
"well as the",92,"well","as","the",0.180039138943249
"a list of",91,"a","list","of",0.758333333333333
"around the world",91,"around","the","world",0.130372492836676
"awkward moment when",91,"awkward","moment","when",0.892156862745098
"been able to",91,"been","able","to",0.978494623655914
"for the mention",91,"for","the","mention",0.0113001365950577
"he is a",91,"he","is","a",0.0900990099009901
"if you dont",91,"if","you","dont",0.0236732570239334
"in the air",91,"in","the","air",0.00614698730072953
"just have to",91,"just","have","to",0.579617834394904
"on the phone",91,"on","the","phone",0.0116308793456033
"the time i",91,"the","time","i",0.0823529411764706
"what a great",91,"what","a","great",0.138297872340426
"don't know how",90,"don't","know","how",0.130813953488372
"for the day",90,"for","the","day",0.0111759592698373
"happy mothers day",90,"happy","mothers","day",0.967741935483871
"i am the",90,"i","am","the",0.0201838977349181
"is what i",90,"is","what","i",0.215827338129496
"it as a",90,"it","as","a",0.285714285714286
"it was just",90,"it","was","just",0.0213169114163903
"know what you",90,"know","what","you",0.114503816793893
"one of these",90,"one","of","these",0.0301912110030191
"out of a",90,"out","of","a",0.0369761709120789
"out on the",90,"out","on","the",0.282131661442006
"the most important",90,"the","most","important",0.0666173205033309
"to keep the",90,"to","keep","the",0.125173852573018
"to the point",90,"to","the","point",0.0110483672968328
"to watch the",90,"to","watch","the",0.174081237911025
"way to go",90,"way","to","go",0.075885328836425
"what you think",90,"what","you","think",0.0994475138121547
"and we are",89,"and","we","are",0.103248259860789
"because it is",89,"because","it","is",0.243169398907104
"i hope to",89,"i","hope","to",0.0793933987511151
"i know it",89,"i","know","it",0.0446562970396387
"new york city",89,"new","york","city",0.159212880143113
"you guys are",89,"you","guys","are",0.130882352941176
"you know i",89,"you","know","i",0.0551083591331269
"a few of",88,"a","few","of",0.0456194919647486
"a sense of",88,"a","sense","of",0.822429906542056
"and have a",88,"and","have","a",0.192982456140351
"and i know",88,"and","i","know",0.020253164556962
"but this is",88,"but","this","is",0.314285714285714
"first time in",88,"first","time","in",0.176352705410822
"go to bed",88,"go","to","bed",0.0684824902723735
"gonna be a",88,"gonna","be","a",0.226221079691517
"i got the",88,"i","got","the",0.0743871513102282
"i should have",88,"i","should","have",0.172549019607843
"in a way",88,"in","a","way",0.0200775724389687
"it's been a",88,"it's","been","a",0.317689530685921
"it to be",88,"it","to","be",0.0989876265466817
"last night i",88,"last","night","i",0.0977777777777778
"me and i",88,"me","and","i",0.102564102564103
"of the book",88,"of","the","book",0.00560224089635854
"of the season",88,"of","the","season",0.00560224089635854
"on to the",88,"on","to","the",0.239782016348774
"should be a",88,"should","be","a",0.0817084493964717
"thanks to all",88,"thanks","to","all",0.149914821124361
"the chance to",88,"the","chance","to",0.758620689655172
"there are no",88,"there","are","no",0.064327485380117
"to me that",88,"to","me","that",0.0577049180327869
"to pick up",88,"to","pick","up",0.403669724770642
"up for the",88,"up","for","the",0.167300380228137
"what i was",88,"what","i","was",0.0694554064719811
"what the hell",88,"what","the","hell",0.162361623616236
"wish i had",88,"wish","i","had",0.174950298210736
"a few minutes",87,"a","few","minutes",0.0451010886469673
"be a great",87,"be","a","great",0.0414483087184374
"being able to",87,"being","able","to",1
"best way to",87,"best","way","to",0.861386138613861
"for those of",87,"for","those","of",0.255882352941176
"give me a",87,"give","me","a",0.334615384615385
"i hate when",87,"i","hate","when",0.125722543352601
"need to go",87,"need","to","go",0.0403525046382189
"now i have",87,"now","i","have",0.130239520958084
"the story of",87,"the","story","of",0.185106382978723
"a few more",86,"a","few","more",0.0445826853291861
"and you can",86,"and","you","can",0.10997442455243
"based on the",86,"based","on","the",0.249275362318841
"can i get",86,"can","i","get",0.194130925507901
"for the ff",86,"for","the","ff",0.0106792499689557
"forward to seeing",86,"forward","to","seeing",0.0911983032873807
"forward to the",86,"forward","to","the",0.0911983032873807
"getting ready to",86,"getting","ready","to",0.383928571428571
"i dont want",86,"i","dont","want",0.0921757770632369
"is there a",86,"is","there","a",0.308243727598566
"know what i",86,"know","what","i",0.10941475826972
"need to do",86,"need","to","do",0.0398886827458256
"not to mention",86,"not","to","mention",0.107904642409034
"that is a",86,"that","is","a",0.0529230769230769
"the opportunity to",86,"the","opportunity","to",0.699186991869919
"to have to",86,"to","have","to",0.0480984340044743
"was a great",86,"was","a","great",0.0369733447979364
"way to the",86,"way","to","the",0.0725126475548061
"were going to",86,"were","going","to",0.704918032786885
"what is your",86,"what","is","your",0.105521472392638
"you know how",86,"you","know","how",0.0532507739938081
"for me and",85,"for","me","and",0.0583390528483185
"get rid of",85,"get","rid","of",0.965909090909091
"great to see",85,"great","to","see",0.328185328185328
"i'm trying to",85,"i'm","trying","to",0.758928571428571
"of you who",85,"of","you","who",0.102657004830918
"off to the",85,"off","to","the",0.195852534562212
"on the back",85,"on","the","back",0.0108640081799591
"ready for the",85,"ready","for","the",0.156537753222836
"so much more",85,"so","much","more",0.0491613649508386
"thanks for sharing",85,"thanks","for","sharing",0.0325047801147228
"that there are",85,"that","there","are",0.232876712328767
"that we have",85,"that","we","have",0.097813578826237
"the first place",85,"the","first","place",0.0423306772908367
"the kind of",85,"the","kind","of",0.548387096774194
"the university of",85,"the","university","of",0.65891472868217
"while i was",85,"while","i","was",0.259146341463415
"you are the",85,"you","are","the",0.0351530190239868
"a good one",84,"a","good","one",0.0438413361169102
"did you get",84,"did","you","get",0.105660377358491
"do the same",84,"do","the","same",0.21875
"even though i",84,"even","though","i",0.208436724565757
"had to be",84,"had","to","be",0.0794701986754967
"in other words",84,"in","other","words",0.424242424242424
"it could be",84,"it","could","be",0.485549132947977
"it might be",84,"it","might","be",0.446808510638298
"make sure to",84,"make","sure","to",0.171779141104294
"me know if",84,"me","know","if",0.233333333333333
"part of a",84,"part","of","a",0.0717948717948718
"ready to go",84,"ready","to","go",0.140468227424749
"that is not",84,"that","is","not",0.0516923076923077
"to try and",84,"to","try","and",0.177589852008457
"will always be",84,"will","always","be",0.502994011976048
"a variety of",83,"a","variety","of",0.954022988505747
"can do it",83,"can","do","it",0.182017543859649
"day of the",83,"day","of","the",0.189931350114416
"for me i",83,"for","me","i",0.0569663692518874
"get to the",83,"get","to","the",0.116573033707865
"have you ever",83,"have","you","ever",0.141156462585034
"in one of",83,"in","one","of",0.244837758112094
"in the car",83,"in","the","car",0.00560659281275331
"is a little",83,"is","a","little",0.0181301878549585
"much for the",83,"much","for","the",0.28719723183391
"reminds me of",83,"reminds","me","of",0.734513274336283
"take a look",83,"take","a","look",0.12888198757764
"the right to",83,"the","right","to",0.135399673735726
"this is one",83,"this","is","one",0.0296005706134094
"to have you",83,"to","have","you",0.046420581655481
"will be in",83,"will","be","in",0.0253667481662592
"a bit more",82,"a","bit","more",0.0740740740740741
"for the most",82,"for","the","most",0.010182540668074
"for the past",82,"for","the","past",0.010182540668074
"great way to",82,"great","way","to",0.881720430107527
"have you been",82,"have","you","been",0.139455782312925
"i'd love to",82,"i'd","love","to",0.796116504854369
"i'm pretty sure",82,"i'm","pretty","sure",0.661290322580645
"i like it",82,"i","like","it",0.0929705215419501
"i live in",82,"i","live","in",0.458100558659218
"of the other",82,"of","the","other",0.00522026992615228
"part of my",82,"part","of","my",0.0700854700854701
"so if you",82,"so","if","you",0.450549450549451
"the heart of",82,"the","heart","of",0.485207100591716
"the importance of",82,"the","importance","of",0.921348314606742
"the other hand",82,"the","other","hand",0.0711188204683434
"they have a",82,"they","have","a",0.122388059701493
"to know that",82,"to","know","that",0.105806451612903
"to me i",82,"to","me","i",0.0537704918032787
"to see my",82,"to","see","my",0.0296028880866426
"to the next",82,"to","the","next",0.010066290203781
"want to make",82,"want","to","make",0.0268940636274188
"a good idea",81,"a","good","idea",0.0422755741127349
"at least i",81,"at","least","i",0.0686440677966102
"but there is",81,"but","there","is",0.333333333333333
"couple of weeks",81,"couple","of","weeks",0.135678391959799
"i don't care",81,"i","don't","care",0.035793194874061
"it makes me",81,"it","makes","me",0.382075471698113
"it was great",81,"it","was","great",0.0191852202747513
"of the things",81,"of","the","things",0.00515660809778457
"on how to",81,"on","how","to",0.373271889400922
"or at least",81,"or","at","least",0.675
"see you soon",81,"see","you","soon",0.0850840336134454
"thanks for your",81,"thanks","for","your",0.0309751434034417
"the way i",81,"the","way","i",0.06071964017991
"the way you",81,"the","way","you",0.06071964017991
"the world and",81,"the","world","and",0.052258064516129
"there are many",81,"there","are","many",0.0592105263157895
"you can find",81,"you","can","find",0.0338628762541806
"all of them",80,"all","of","them",0.0589101620029455
"and there are",80,"and","there","are",0.24390243902439
"back of the",80,"back","of","the",0.459770114942529
"i really want",80,"i","really","want",0.0928074245939675
"i was able",80,"i","was","able",0.017742293191395
"in the country",80,"in","the","country",0.00540394487976223
"in the face",80,"in","the","face",0.00540394487976223
"in the process",80,"in","the","process",0.00540394487976223
"live in a",80,"live","in","a",0.200501253132832
"my best friend",80,"my","best","friend",0.36697247706422
"spread the word",80,"spread","the","word",0.689655172413793
"the only way",80,"the","only","way",0.0784313725490196
"this is an",80,"this","is","an",0.0285306704707561
"thx for the",80,"thx","for","the",0.529801324503311
"to do is",80,"to","do","is",0.0299962504686914
"why am i",80,"why","am","i",0.987654320987654
"you get a",80,"you","get","a",0.121396054628225
"and when i",79,"and","when","i",0.262458471760797
"had a good",79,"had","a","good",0.0430987452264048
"i am in",79,"i","am","in",0.0177169769006504
"i have never",79,"i","have","never",0.0172413793103448
"i think i'm",79,"i","think","i'm",0.0280739161336176
"is just a",79,"is","just","a",0.144160583941606
"it was not",79,"it","was","not",0.0187115111321649
"learn how to",79,"learn","how","to",0.908045977011494
"see you at",79,"see","you","at",0.0829831932773109
